Brand,Name,SKU,Image URL,Product URL,Description
Bomb Pop Dairy,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=f5f51f35f7b52138403cee7e242eb94d721ab99e&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7146221?seller_id=USBL,"The miniature version of our iconic red, white and blue Bomb Pop Original pop features flavors of cherry, lime and blue raspberry. Offer this sweet treat at a cafeteria, concession stand or micro...
Read More"
Sysco/freshpoint Natural,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=a3628252bb1acb09ec0de84147adf13faa77d284&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7047854?seller_id=USBL,"Sysco Clasic Romaine Hearts are fresh field packed six romaine hearts to a bag....
Read More"
Propack,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=113089bca005a1b6a5c9b1af8f871916ef3f357f&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/1254390?seller_id=USBL,"Driscoll’s berries are some of the most delicious, nutritious, disease-fighting fruits you can eat. Recent study findings suggest that blueberries may influence genes which regulate fat-bur...
Read More"
Earth Plus,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=c47feb98c9498cad242470997bf36ef87d7fde4b&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7473477?seller_id=USBL,"Sysco Imperial clear plastic cup lids offer excellent clarity, so customers can easily identify the contents. Made with PET material, these lids are lightweight, durable and contain a straw slot for conven...
Read More"
Imperial,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=d1eaf283050996d10763c652928a2d86787c2bc4&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/1998861?seller_id=USBL,"Sysco Imperial Ultimate Crisp fries are heavily battered to deliver a crunchy bite and excellent hold time. These fries have a longer length to decrease the amount needed to fill a plate, reducing...
Read More"
Reliance,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=3784583d92d3c8db7b369e3dbf999fb533d13f51&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4116489?seller_id=USBL,"For operators that have a moderate usage for mayonnaise, Sysco Reliance Heavy Duty Mayonnaise fits the bill with an efficient amount of oil (less than 79%) and egg yolks that brings moisture...
Read More"
Reliance,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=440afa2b1f9a25ae3bd2af13e9cc8ec734d52857&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4518403?seller_id=USBL,"Sysco Reliance Shortening is a refined vegetable oil made from selected soybean oil with stabilizers. Zero grams Trans Fat per serving. Very light in color and bland in flavor....
Read More"
Reliance,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=101203f0fe331f3e62f5d9844b8d975ea577cdcb&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4002432?seller_id=USBL,"Sysco Reliance heavy duty mayonnaise has a thick and creamy texture that clings to dry-bound salads with great consistency. The traditional off-white color and egg-based taste offers a tangy richn...
Read More"
Tonys (schwans),Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=511518d1dc36b00968f321f5117c946c4df5f14a&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/1270479?seller_id=USBL,"TONY'S™ Deep Dish 5"" Pepperoni Pizza -IW, Tony's® sauce, sliced & diced pepperoni, and cheese, all on top of our famous pastry-style crust. Individually wrapped....
Read More"
Blue Bunny,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=d0cb6202ff275520707e6ddea0f661b44dfafcdc&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/1595487?seller_id=USBL,"Blue Bunny Chips Galore!® cookie sandwich piles on the chocolate chips, with creamy vanilla flavored frozen dairy dessert layered between two chocolate chip cookies and rolled in mini...
Read More"
Dole,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=a596981bb5733f355e9bb336a823594318a866d3&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4019097?seller_id=USBL,"Dole 100% Pineapple Juice is a natural sweetener and a great source of vitamins for customers looking for better-for-you menu items. Found all over the world, Dole 100% Pineapple Juice is the Kin...
Read More"
Reliance,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=1ca303bbaa75667f13a1f26b930f69d1032958ce&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/1763846?seller_id=USBL,"Sysco Reliance reprocessed resin trash can liners are an eco-friendly and economical alternative to traditional trash can liners. These liners are made from high-quality reprocessed resin and utiliz...
Read More"
Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=8cd47fa890f63cfb1ff6efabb371b3028448854f&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4471223?seller_id=USBL,"Sysco Classic white thermal paper POS tape is designed for use in receipt printers, providing your customers with a receipt for their records. These single-ply rolls are 200 feet in length, givi...
Read More"
Propack,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=489fe66cf2d14ef32173b700b7487a952c3daa22&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/3381134?seller_id=USBL,"Propack Fresh Hass avocados are oval-shaped with pebbly skin. The interior flesh is pale green with creamy, yellowish hues near the pit. External defects associated with #2’s include some scarr...
Read More"
